Jeanne d'Arc au bûcher Choeur des soldats ,Quatuor Canadien,1922,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1030
Jeannine au temps des lilas  [enregistrement sonore] ,"Lapierre, Arthur",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1031
"Jeannine au temps des lilas sur l'air de ""Jeannine, I dream of lilac time"" ","Beauchemin, Georges, 1891-1957",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1032
Jésus de Nazareth La Vierge à la crèche ,"Gounod, Charles, 1818-1893",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1033
La jeune Timire  [enregistrement sonore] ,"Daignault, Eugène, 1895-1960",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1034
Jing a bula jing jing chanson de genre ,"Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1035
La joie du soldat Soldier's joy ; Cotillon à huit ,"Allard, Joseph, 1873-1947",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1036
Joli tambour C'était Anne de Bretagne ,"Marier, Albert, 1895-1971","1942, 1929","1 disque : analogique, 78 r/min ; 18 cm",http://collections.banq.qc.ca/ark:/52327/1037
La jolie aventure  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1919,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1038
"Les jolis yeux de Suzon Chantez, chantez, grand'mère ","Duprat, Armand",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1039
Jonas dans la baleine  [enregistrement sonore] ,"Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1040
"Jonas dans la baleine En pli, en plein ","Légaré, Ovila, 1901-1978",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1041
"Joséphine Va vite, ma vieille ","Daignault, Eugène, 1895-1960",1927,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1042
